content,score,thumbsUpCount
"Hasil Update hanya mengutamakan tampilan saja fungsinya sama saja..sekarang malah lebih ribet dan tidak aman mis: begitu buka aplikasi dan belum Login menunya sudah muncul (transfer, pulsa/data, dompet digital, Kodr QR, BRIZZI, catatan keuangan) ini sangat TIDAK AMAN menurut saya, yg seharusnya Login dulu baru menunya Muncul/tampil. Trims",1,7
setelah update terakhir selalu muncul notifikasi jaringan buruk baik menggunakan jaringan seluler maupun menggunakan wifi jadi setiap kali transfer harus nunggu loading dulu sampe bar berubah hijau bahkan seringkali bar tidak berubah tetap merah mohon team developer untuk memperbaiki nya,2,24
"buka aplikasi Brimo tiba2 mental keluar sendiri,,harus hapus cache data dulu,,login lagi,,selalu seperti itu,q pkir karena sinyal..tp ternyata walau sinyal bagus juga seperti itu,capek kalo harus login2 terus,(lewat SMS link) loginnya,,semoga segera diperbaiki.",4,40
"awalnya ngebug gitu tiap mau tf ke ewallet pasti tulisannya akun belum dibuat. pas coba buat hapus terus install ulang malah ga bisa login karna harus sesuai dengan kartu yang digunakan.. padahal sudah di sesuai kan kartunya masih ga bisa login.. minta tolong buat bisa masuk lagi ke akun, ada uang yang mau dipake🙏🏻",1,3
"Buat yg keganggu dikit2 update tak kasi tau, update itu perbaikan dari beberapa celah yg memungkinkan adanya kelemahan keamanan, akibatnya bisa di hack dsb.. Sering update menandakan selalu ada perbaikan dan kerja team IT di push utk selalu meningkatkan itu... Dan itu sangat ribet menguras otak dan tenaga...",5,2141
"aplikasi sy stelah update malah crash force closed terus,pdahal g ada akses aksesibilitas dan cache uda dihapus, jd g bs bertransaksi dg lancar dg brimo nya, uda di cb berkali kali dr 2 hr yll, katanya cs di coba saja berkala, tp ttp aja kaya gini, mohon aplikasinya di perbaiki lagi lah, sy jadi bingung kalau mau transfer keluar"" sendiri.",2,118
"Aplikasinya makin jelek aja !!! Kenapa harus menggunakan data internet dengan nomor yang didaftarkan ? Tidak bisa menggunakan data internet provider lain maupun wifi. Giliran udah ngisi internet di nomor yg terdaftar ga bisa login juga. Giliran udah mau jadi, akun ada belum terlogout sempurna. Aplikasinya makin aneh !!! INTINYA LOGIN AJA DIPERSULIT",1,98
Setelah di update sekarang jadi ngga bisa transfer karna harus menggunakan nama alias & pas diketik selalu tidak bisa klik lanjutkan. Lebih baik saat transfer nomer rekening saja yang diketik seperti biasanya jauh lebih mudah tidak seperti sekarang sangat ribet & saya jadi tidak bisa transfer.,2,76
"agak unik sih , udah aplikasinya sering update , sering motong saldo pulak ni pihak BRI nya , memang dikit dikit motong nya tapi sering , tau tau ada pemberitahuan , tertulis di situ biaya SMS banking tapi SMS gak ada masuk , ntah biaya SMS apa sebenarnya , memang masalah keamanan dan kenyamanan BCA yg top .",2,31
"Habis update terbaru malah sering force close, update keamanan, tp malah menyusahkan. ditengah² scan Qris tiba tiba force close, TF jg gitu, masak sekelas BUMN aplikasi kek gini sih. aku kira cuman punyaku yg masalah, ternyata punya temen² kadang jg sama. hadehh.",1,124
"apk yg menurutku paling sering upgrade,belum ada sebulan udah upgrade brapa kali aja. pernah pas mau bayar pake QRIS eh gak bisa buka harus upgrade dulu dong, padahal yg antri bayar di belakang saya banyak meskipun upgrade gk ada semenit. menurut saya itu sangat mengganggu klo terus-terusan upgrade dalam waktu yang sangat sering.",1,83
"Aplikasi ribet, screenshot pun dibatasi beda dengan livin, terlalu kaku ni aplikasi, Lama gak di pake, sekalinya di pake minta ubah password, udah lama pula nunggu email OTP nya, pas log in rekening gak aktif jdi gak bisa bayar maupun transfer!!!!",1,15
"Saya telah berhasil aktivasi brimo, pada fitur status finansial telah di aktifkan namun tetap tidak bisa digunakan transaksi, walaupun telah menerima email berhasil aktifkan finansial, heran saja setelah buat akun rekening tidak bisa digunakan produk simpedes bisa. Belum lagi tayangan slide nya terlalu cepat hanya hitungan detik malah di tutupi dengan formulir tabungan impian. Mohon diperbaiki kembali agar saya dapat transaksi belanja online. Demikian",2,21
"Tolong min, untuk pendaftaran Nik jangan di tautkan otomatis ke tglnya, soalnya ktp Saya nik tanggalnya gak Sama dengan tanggal lahir tertulisnya, di nik 2297 di data 8897,update berikutnya kasih opsi otomatis isi / tidak saja agar mempermudah pendaftar yg mempunyai masalah yang Sama, terima kasih",3,1
"Aplikasi bagus, simple, dan cepat. Tapi kenapa yaa kadang kalo mau transfer atau transaksi gitu kadang saldo tidak mencukupi, padahal saldo ada lebih. misalnya mau bayar 100rb dan saldo ada 110rb, nah itu tuh selalu ga bisa, padahal saldo lebih. nah itu kenapa ya? baru pemula soalnya",4,12
"Login aja dipersulit! Saya udah otak atik hp. Tp masih saja bacaannya ""nomor hp tidak sesuai"" padahal pulsa ada, data seluler jg dari SIM 1. Pokoknya udh lengkap, cmn apk nya aja yg agak lain. Auto uninstall.",1,22
"Baru-baru ini saat saya ingin update versi, dan setelah update ternyata pada play store BRImo masih ada tulisan update lagi setelah, saya coba untuk klik update lagi, tapi saat sudah selesai, kenapa setiap buka aplikasinya selalu keluar sendiri tiba-tiba, seringkali seperti itu, saat login, dan pada tampilan menu seringkali crash atau pecah dan tarik tunai jadi sulit, ntah ini dari handphone saya atau aplikasi masih tahap maintenance, tolong segera perbaiki agar aplikasi tidak seperti ini lagi.",4,111
"Aplikasi brimo gatau kenapa update terus menerus, udah berapa kali keseringan banget update nya, tapi bug pada ui nya masih ada, kayak pas mencet tombol scan QR tapi malah gak kepencet dan yang kepencet daftar transaksi, jadi sebenarnya update terus menerus ini tuh update apanya. Buat sekarang tak kasi bintang 4 dulu semoga cepat diperbaiki, dan sekali update bisa mengatasi masalah dengan lebih baik.",4,122
"Tidak bisa dibuka terdeteksi root, padahal hp tidak di root. terdeteksi menginstal aplikasi tidak resmi, padahal aplikasi dari playstore. ehh.. ada lagi bugs, pakai kuota, wifi koneksi 50mbps sendirian pun tidak bisa melakukan transfer. ""koneksi buruk"". direstart juga masih tetep sama ""koneksi buruk"".",1,103
"Login via scan fingerprint, malah muncul error transaksi gagal (kode:rzpo), bugnya menyimpang banget. Login via lupa pasword, masukin pin dah benar, malah error data ga sesuai (kode:hsna). Padahal sebelumnya normal semua dan sesuai. Ini update kenapa?",5,1402
Verifikasi wajah susahnya minta ampun padahal kuota ada sinyal lancar. Kamera tdk rusak. Wajah sudah dihadapkan kekamera berkali2 tetep gk bisa. Udah tutup aja aplikasi nya sangat tdk membantu. Sangat susah. Tolong ditutup aplikasinya aja!!!!!!!,1,53
"Kenapa ya sekarang BRImo gak bisa diatur notifikasi... Transaksi keluar masuk biasanya ada notifikasi suara ""BRImo""... Sekarang gak ada lagi... Susah ngontrol dan ngecek nya... Diizin notifikasi malah ada tulisan sekitar 0 notifikasi per minggu... Jadi gak nyaman.. Tolong dong diperbaiki... Padahal udah beberapa kali di hapus, di update..",3,70
"rawan security nya, menurut saya. Lapisan password, baiknya ditambah saat transfer. Lalu aplikasinya disetting aksesbility yang tidak bisa bergandengan dengan aplikasi sniff lain. Dan tolong ditambah versi website buat level rakyat + token key, tidak hanya di hp saja, tapi juga di laptop, karena aplikasi di hp sangat rawan dan mudah untuk di hack.",5,477
"Memudahkan nasabah, mungkin sedikit masukan kalo bisa pada daftar mutasi kalo di pencet keluar bukti transfernya, bukan cuma pas setelah transfer aja. Soalnya pas sewaktu2 butuh bukti kalau sudah transfer kadang hilang tk tersimpan di galery handphone",5,700
"Ada bug di hp saya, devicenya android 11. Gatau faktor error hpnya atau aplikasinya, tapi sebelum update terakhir ga pernah ada masalah ini. Pas mau klik scan qris sering ga bisa malah yg keklik banner promo atau catatan keuangan. Kadang harus nunggu lama baru bisa diklik normal tombol qris yg di tengah bawah. Mohon difix min, siapa tau user lain ngalamin juga",4,76
Ada yg ngalamin hal yang sama gak sih? Menu SETOR TUNAI di aplikasi BRImo tiba² menghilang dan tidak muncul lagi. Sudah berkali² hapus data dan aplikasi juga sudah update tp menu SETOR TUNAI tetap tidak muncul. Jadi skrg mau setor tunai tanpa kartu jadi gak bisa. Padahal tadinya uda nyaman banget krn ada fasilitas TARIK TUNAI & SETOR TUNAI tanpa kartu. Tp skrg jadi bnr² susah mau setor tunai tanpa kartu.,5,657
Saya selalu dapat notifikasi sms banking padahal nomer yg terdaftar sudah tidak aktif dan saya sudah menonaktifkan lewat aplikasi brimo. Tapi kenapa masih muncul notifikasi sms banking setelah dinonaktifkan dan selalu memotong saldo? Kan saldonya kalo kepotong setiap hari rata2 2rb itu termasuk banyak lho.,4,89
"apk aneh ga bisa ngebaca data diri nih apk, dua hari berturut gw daftar salah mulu sampe limit. Data diri gak sesuai katanya, padahal yang di input sesuai ktp semua. Nama, nik, dll malah error trus ada notif ""silahkan isi data diri dengan benar"" lah kocak gw coba daftar di livin aman aja tuh. Sistem lu aja yang gak bisa ngebaca ktp",1,54
"Sebelumnya aplikasi Brimo mau tapi pas Update versi terbaru Brimo malah force close / keluar sendiri aplikasinya dan mengarahkan ke web dgn tulisan ""aplikasi gagal berjalan, sistem perangkat terdeteksi mengalami perubahan.... "" Dan saya coba di hp satunya download aplikasi Brimo tapi tetap aja sama force close/ keluar sendiri. Bukannya update aplikasi tambah bagus malah error parah , bagaimana caranya ini mau akses aplikasi Brimo?",1,67
Aplikasi nya bagus mudah transaksi Bagus cuman potongannya banyak sekali setiap ada notif pasti selalu di potong gak masalah sih kalau di potong tapi yqng jadi masalahnya tu banyak di potongnya. Jadi berasa kayak gak nyaman pake brimo lagi de. Tapi semoga ada perubahannya ya min🙏,1,92
"Setelah upgrade ke versi terbaru, Utk menggunakan BRIMO knpa pengaturan Aksesibilitas di HP knpa harus dinonaktifkan? Padahal fitur bawaan HP yg mempermudah pengguna. Jangan hanya karna BRIMO justru mempersulit penggunaan fitur² terbaik pada smartphone. PARAH.",1,140
"Seringkali Buat top up e-wallet dan transfer terdeteksi jaringan jelek, bahkan tidak bisa d pake buat transaksi.padahal sinyal dan wifi dirumah untuk browsing lancar.Tapi setelah saya install ulang lagi baru bisa d pake buat transaksi. Mohon perbaikan nya",2,39
"Min...kenapa tidak bisa masuk brimo, padahal jaringan stabil, User ID benar, Password benar, SMS Otp sudah dapat, tetapi setelahnya tombol klik masuk brimonya tidak bisa di klik jadi tidak bisa masuk,,,bagaimana solusinya",5,630
"Penggunaan tehnologi digital yang merambah ke perbankan ternyata sangat praktis, efektif&hemat energi. Dan menjadi momok yang mengundang stres, tensi naik bagi para lansia yang rata² gaptek. Dan persoalan yang banyak timbul adalah disaat berhadapan dengan akun, pasword ditambah ingatanya sudah cetek, emosi sebagai alternatif beladiri. Semoga BRI kedepan tambah memberikan kenyamanan, services yg mumpuni lagi kepada nasabah,dan khususnya kepada para lansia yang gaptek sekaligus ingin belajar maju.",4,44
mohon di perbaiki untuk setiap aktivitas.. notifikasi nya langsung real time. sukses tapi notif/mutasi nya baru keliatan beberapa detik/menit. realtime sangat membantu semua pengguna brimo pastinya. perbaiki secepatnya,1,26
"BRImo menawarkan kemudahan transaksi, tampilan intuitif, dan akses cepat ke layanan perbankan digital, membuat saya tetap menggunakannya. Namun, di balik kepuasan itu, ada tantangan yang menguji kesabaran. Salah satu kendala utama adalah keterbatasan login di perangkat lain yang mengharuskan penggunaan jaringan yang sama. Ini terasa membatasi bagi pengguna yang ingin fleksibilitas dalam beradaptasi dengan teknologi.",5,1004
"Perangkat lama rusak mau login keperangkat baru susah minta opsi lupa password gk berfungsi. Padahal data yg di masukan udh benar, heran. Banyak transaksi saya tertunda gara gara kendala ini. Chatt callbri pun sarannya cuman masukan data sesuai data kita dengan benar dan coba secara berkala. Lh ya pastinya kita masukin data kita dong gk mngkin data tetangga, coba login berkala udh 3 hari gua coba hasilnya tetap sama.",1,22
"Aplikasi aneh, fitur aksesibilitas memang bawaan dari perangkat, kenapa di aplikasi BRImo tidak boleh dipakai? Mohon diperbaiki lagi sistemnya untuk mendukung semua fitur di perangkat, jika fitur ini tidak dapat dipakai saya akan lebih memilih menghapus aplikasi dan memindahkan semua dana yg ada. Terima kasih.",3,197
"Sering ngebug, mau tf sering transaksi gagal padahal jaringan bagus gak macet², mau isi e wallet juga sama aja gitu error transaksi gagal termasuk isi pulsa dan paket data. Kadang pas login tiba² saldonya gak bisa dilihat udah di update gitu jugaaaa... Jadi sebel pake aplikasi ini, tolong dong lebih diperhatikan lagi klo sering kaya gini yang ada orang pada males buattt gunain apk ini. Harusnya biar cepet garibet ehh malah sering ngebug sama aja dong malah tambah ribet...",3,66
"Kurang user friendly dan tidak mengikuti perkembangan sistem operasi android. Brimo sering mental sendiri saat mau dibuka, padahal sudah android 13 go edition dan security update terbaru. Clear cache sudah, clear storage lalu restrart sudah dan tidak berhasil.",1,55
"Bagus si secara UI UX, tapi masih ada bug yg dialami. Pertama nyoba topup e-wallet 50rb statusnya gagal transaksi, terus dicoba sekali lagi berhasil malah kepotong 100rb. Di menu mutasi ada kepotong 50rb 2x. Di menu aktivitas cuma ada sekali 50rb. Untung top up buat sendiri, bayangin misal buat topup / transfer ke orang lain, apa gak rugi kalo yg kepotong jadi dobel, status gagal tapi saldo berkurang",3,46
Ini aplikasi ngebug atau gimana ya. Setelah update malah sering restart aplikasinya. Alhasil mau transaksi jadi tidak bisa. Tolong diperbaiki secepatnya. Versi sebelumnya aman-aman aja. Dan untuk fitur aksesbilitas ini menganggu banget.,2,46
"Ada yang mengalaminya juga kah, setelah Apl BRImo di UPDATE malah jadi eror ??? Jadi gak bisa buka Apl BRImo kalau system asisten Screenshoot Samsung A71 nya aktif, padahal dulu sebelum di update bisa. Lagi pula kan klo Samsung A71 memang cara SS nya pake system asisten. Tolonglah BRImo di tingkatkan lagi jangan mempersulit.",3,95
Selalu mengalami kendala saat login dengan kode (rule) kartu sim sudah di pasang pada sim 1 dan mengikuti instruksi sesuai arahan tapi tetap saja tidak bisa. Developer males memperbaiki bug tersebut pedahal sudah dari lama bug itu ada tapi tidak di fix. Device Samsung a54,1,18
"memudahkan transaksi, namun kadang diakhir proses transksi tiba"" jdi loading gak bisa selesai transaksinya. Pas diulang transaksi berhasil sekali tpi dana yang keluar dua kali. Mohon di perhatikan!! Saya pengajuan aduan malah gak bisa balikin dana dan sampai skrg dana sya gak balik"". Lebih diprbaiki lagi!🙏",3,41
"pindah device, username benar, password benar, nomer yg dipake brimo di SIM 1, kuota ada. tapi tetep kebaca nomor tidak sesuai jadi ga bisa log in. makin kesini bukan makin lancar mudah malah makin ribet.",1,50
"tidak cocok untuk umkm yang tiap hari harus melakukan transaksi, biaya notifikasi sebulan bisa sampai 200rb lebih, notifikasi sudah dinonaktifkan, tetapi masih tetap terpotong. pengaturan nonaktifkan notifikasi di aplikasi cuman ada sms dan whatsapp, tambahkan untuk email juga. sebaiknya jangan gunakan brimo untuk yang tiap hari melakukan transaksi dan setor tunai, banyak aplikasi perbankan lain yang bebas biaya notifikasi transaksi",1,63
"nggak bisa login krna harus update dulu, tpi setelah update masih belum bisa login dan masih diarahkan untuk update lgi, ini aja terus yang berulang. nggak bisa login untuk lakukan tranksaksi. respon di email pun lama banget baru ada balasannya.",2,2
"Tgl 6 maret 2025 sy diminta update..setelah update muncul fitur harus menonaktifkan aksebilitas, sy ikuti sesuai petunjuk..namun fitur tersebut selalu muncul, dan sampai sekarang aplikasi brimo sy tidak bisa dibuka karena fitur diatas selalu muncul..updatenya bukan menjadi baik malah buruk..aplikasinya malah tidak bisa dibuka..",5,526
"dengan aplikasi ini sangat² pembantu apalagi khususnya anak koss yang mager keluar buat isi token atau pulsa hp,dan sangat² pembantu dalam transaksi tapi sayangnya saldo sering berkurang walaupun tidak melakukan transaksi dan sejenisnya",5,0
"mau pindah ke hp yang lain aja susahnya minta ampun padahal pakai kartu yang sama, udah hidupin paket data, hampir 10 kali restart hp mode pesat instal donwload berkali kali, udah isi paket data, isi pulsa, nomor pun masih aktif tetap aja nomor ponsel tidak sesuai, bikin aplikasi bukanya memudahkan malah makin menyusahkan.",1,5
"Setelah Update terakhir, Tolong diperbaiki dimana menggunakan WiFi selalu ada Popup internet tidak stabil, padahal menggunakan data dengan sinyal minim bisa lancar. Semoga aja itu cuma bug.",4,51
"tolong dong jngn dikit"" gangguan terus ada tulisan tidak menanggapi atau otomatis terkeluar. .gimana sih server nya .tolong la min.di update .kami jg kan bayar enggak gratis .tiap bulan juga ada potongan masak,masalah pelayanan enggak di utamain.",1,12
aplikasi bangke terlalu ribet data nya suda benarpun Masi tetap sala dan kita harus menunggu 6 jam untuk mengulanginya kembali tolong pihak BRI di tingkat kan lagi agar pendaftaran nya lebi muda dan tidak ribet kita kita selaku nasaba BRI tentunya merasa kecewa dengan hal seperti ini hal kecil yang seharusnya muda pala di persulit.,1,1
"untuk aplikasi sangat baik,,kurang nya pemotongan biaya notifikasi SMS sangat merugikan terlalu besar,, dan kenapa cuman di apk brimo saya saja yang tidak ada tandak untuk menonaktifkan notifikasi SMS tersebut??",3,0
"sekalinya muncul perimtaan update, belakangan jadi sering muncul minta update. Tapi okelah klo demi keamanan. Tapi yang lebih disayangkan lagi, info potongan admin SMS yg suka dirapel, tiba_tiba sampe 6x, 8x sampe Rp 6.000, 7.500,dst. memang sih...1 x transaksi 750 rupiah, keliatan kecil, tapi klo dikalikan sekian berasa juga...,belum klo potongan trfer beda bank. Aplikasi udah pake kuota, masih harus ada biaya admin, diambil potongan saldo. 😔",3,8
"Aplikasi BRImo ini cukup membantu, tidak perlu repot harus tunggu antrian maupun di gerai yang cukup jauh tergantung jaringan ditiap daerah khususnya di pedalaman desa yang belum di jangkau akses jaringan internet,dan menu nya lumayan lengkap lah,tingkatkan terus aplikasi BRImo nya sukses selalu...",5,98
"Setelah upgrade ke versi 2.80.0 aplikasi brimo muncul notifikasi untuk ""menonaktifkan aksesibilitas perangkat"". Masalahnya Saya sudah coba mengikuti intruksi tapi tidak menemukan maksud dari notif tersebut.",1,23
"Seringkali Buat top up e-wallet dan transfer terdeteksi jaringan jelek , jadi ga berani lanjut buat transaksi padahal sinyal dan wifi dirumah untuk browsing lancar. Mohon perbaikan nya",2,27
"Saat pembayaran QRIS saldo tidak cukup padahal saldo masih banyak, (Kuota oke ,sinyal oke ,apk udah update ), alhasil ngulang login ulang ke aplikasi brimo dan refresh berkali-kali lebih dari 10 kali ngulang baru berhasil, hadehhh benerin lah min !!!",1,34
"Maap ngk rekomendasi brimo ini 🙏 Aku ngalamin, brimo buat transaksi transfer tidak bisa , loadingnya lama, tapi buat transaksi belanja online bisa , cuma pas transaksi transfer antar rekening tidak bisa , Karena tidak bisa saya log out, terus saya login ke aplikasi birmo tidak valid terus padahal username sama password itu udah bener",1,17
"Sudah dua bulan setiap habis transaksi pakai brimo tapi aplikasi langsung logout sendiri, padahal mau kirim bukti. Sudah diupdate, sudah diuninstall hasilnya sama. Capek banget sama sistemnya yang amburadul",2,26
"gak tau lagi sama BRImo inii, capek bgt bolak balik minta di upgrade. tapi sistem aplikasi nya malah tambah amburadul... kalo terus terusan gini kayaknya mending pindah bankk. tolong kembali seperti versi sebelumnya, aman2 aja & aplikasinya gak error2 kayak sekarang. kecewa bgtt deh hmmmm",1,14
"Kenapa mau masuk aplikasi tidak bisa,selalu alasan jaringan buruk,padahal jaringan bagus,buka yg lain bisa,udah di coba beberapa kali tetap ga bisa,alasan cek paket data,pdahal paket data banyak,tumpah tumpah malah",3,10
"Tolong perbaiki scan qris.y, sy merasa seperti penipu krn tiap mau bayar pakai qris tidak bs, biar sudah d foto tapi tetap tidak bisa membayar, foto yg di unggah juga berubah posisi dari vertikal menjadi horizontal. Bukannya qris mempermudah dan cepat pembayaran malah sangat menyusahkan dan lama.. masalah qris ini belum terselesaikan",1,40
sedikit masukan Tambahkan face login untuk pengguna android yg belum ada fitur sidik jari.. untuk permudah akses lock screen.. karena adroid yg tidak ada fitur sidik jari namun sudah ada face lock.. tidak bisa di setting untuk face login.. terima kasih..,5,381
"setelah update aplikasi tidak dapat di gunakan selalu force close pdhl tdk ada masalah dengan HP nya ternyata banyak user lain yg mengalami hal yg sama saya jadi kesusahan mau transaksi via brimo karena aplikasi nya error dan selalu force close jadi saya hrs bagaimana ini? update baru malah zonk tolong segera perbaiki kalau sudah oke, saya update jumlah bintang nya",1,16
"Wah keren nih apps nya.. Interface nya oke bangetsss.. Suka juga dengan desain halaman, perpaduan warna dan susunan menu2nyaa... Friendly user banget deh.. Proses Transfernya cepat banget, apalagi saya yg udh langsung terhubung ke email.. Notifikasi nya langsung sinkron ke email gj sampe sedetik.. Good job BRI, tingkagkan teyusss..",5,51
"Tolong, ini sudah update tapi malah bug terus dan eror. Padahal jaringan saya bagus dan kondisi HP juga tidak penuh. kenapa sangat sulit dan lama sekali? Dgn update yang baru justru membuat buruk padahal yang sebelumnya baik-baik saja. Melakukan transaksi dan mengecek saldo jadi susah kalau begini. Tolong direspon.",1,15
"katanya BRImo menyediakan fitur paylater, tapi saya tidak ada. kemudian di aplikasi brimo sudah tidak ada menghapus notifikasi sms atau WhatsApp dana masuk dan keluar, sehingga selalu dikenakan biaya untuk notifikasi saldo masuk dan keluar. ara licik bank bri mengambil untung dari nasabahnya, yang terbatas waktu untuk menonaktifkan notifikasi tersebut melalui cabang.",1,4
saya baru mau install lagi brimo setelah sebelumnya coba daftar tapi bermasalah. Saya kira udah mendingan ternyata masih bermasalah juga. Saya udah berhasil bikin akun brimo tapi ga bisa login. katanya salah username/password padahal udah bener. udah coba klik ganti password juga dibilang data tidak sesuai😓gini amat pelayanan IT bank pemerintah. bank DKI juga sama aja bermasalah,1,1
"Cepat mudah baik benar. CUMA kenapa tidak ada notifikasi masuk atau keluar nya uang contoh kaya sms gitu bukti ada saldo masuk ke rekening kita,.. Kalo keluar nya si oke ada bukti notifikasi keluar nya . Sangat di sayangkan aja si ,jadi harus ingat ingat kalo saldo tingal segini biar tahu kalo masuk transfer ke kita",3,44
"mengapa aplikasi ini pas saya mau update ke versi terbaru gabisa,. sudah saya coba berbagai cara buat update nya di PlayStore, update berjalan tapi pas buka app brimo terus menerus dibuat update versi terbaru. tolong lah brimo, penyimpanan bagus kok, tapi tetap gabisa meng update",5,4
"bagus banget aplikasinya ya makin update makin meresahkan, di versi 28.0 ini saya mengklick transaksi atau riwayat transaksi rekening malah mengakibatkan crash, close, and app restart",1,3
"Aplikasi BUMN emng merata gak ada yg beres, belum ada seminggu udah minta update,masuk juga di persulit,isi data sudah sesuai juga dipersulit katanya sandi dan pin gak sesuai,apa sudah mulai ada pembajakan akun ke pengguna,",1,11
